Data di esecuzione: 2024-12-12 14:39:52
Versione: heatloss4

Section,Segment,Length,L_Progr,Qcd,Qcd_segment,Tf,Tmetal,Ti1,Ts
0,0,0.0,0.0,490.79258974163236,0.0,400.0,399.764992040206,139.10010170345134,139.09999999999644
0,0,2.5,2.5,490.79258974163236,1226.981474354081,393.75866529403885,393.52365733424483,132.8587669974902,132.8586652940353
0,1,2.5,5.0,479.1279209648592,2424.801276766229,387.6652940072038,387.4358714822109,130.90672799942996,130.90662871316135
0,2,2.5,7.5,467.929704545937,3594.625538131071,381.7139881753246,381.48992773209284,128.9487911338593,128.94869416811733
0,3,2.5,10.0,457.03601416580557,4737.215573545585,375.90089249049356,375.6820483117377,127.08699902348576,127.08690431516573
1,0,2.5,12.5,446.56908455288317,1116.422711382208,370.2206095344217,370.00677727276695,125.21980958325767,125.21971704392496
1,1,2.5,15.0,436.40351711571964,2207.431504171507,364.66932410859863,364.4603594617235,123.54880500696845,123.54871457417391
1,2,2.5,17.5,427.87685370923066,3277.123638444584,359.2263414190547,359.02145962471826,121.95710597632782,121.95701731045307
1,3,2.5,20.0,419.45960064449406,4325.772640055819,353.89026833976067,353.68941700862024,120.4640138423305,120.46392692070319
2,0,2.5,22.5,411.1466441733301,1027.8666104333254,348.65977658096114,348.46290577230815,119.06959344019026,119.06950824119772
2,1,2.5,25.0,403.24914102880285,2035.9894630053325,343.5296107222176,343.3365215030594,117.56991770370283,117.56983414125366
2,2,2.5,27.5,395.437357690966,3024.5828572327473,338.4986775317174,338.30932885653425,116.1691487531661,116.1690668094972
2,3,2.5,30.0,387.8646493950491,3994.24448072037,333.56394817452843,333.3782255661685,114.765351017239,114.76527064280853
