code;Desc
i01;Calcium Silicate pipe section (Temp 100 to 425 °C)
i02;Calcium Silicate slabs end segment 230 Kg/mc (Temp. 200 to 800°C)
i03;Calcium Silicate slabs end segment 240 Kg/mc (Temp. 200 to 800°C)
i04;Calcium Silicate slabs end segment 250 Kg/mc (Temp. 200 to 600°C)
i05;Cellular Glass 115 Kg/mc (Temp -180 to 400 °C)
i06;Cellular Glass 135 Kg/mc (Temp -200 to 400 °C)
i07;Glass Wool pipe section 55-90 Kg/mc (Temp 50 to 250 °C)
i08;Glass Wool wire mesh blanket 53 Kg/mc (Temp 50 to 250 °C)
i09;Mineral Fiber Blanket Therma Insulation - Type I   (Temp 24 -  232 °C)
i10;Mineral Fiber Blanket Therma Insulation - Type II   (Temp 24 -  232 °C)
i11;Mineral Fiber Blanket Therma Insulation - Type III   (Temp 24 -  232 °C)
i12;Mineral Fiber Blanket Therma Insulation - Type IV   (Temp 24 - 454 °C)
i13;Mineral Fiber Blanket Therma Insulation - Type V   (Temp 24 - 538 °C)
i14;Mineral Fiber Blanket Therma Insulation - Type VI   (Temp 24 - 538 °C)
i15;Mineral Fiber Blanket Therma Insulation - Type VII   (Temp 24 - 649 °C)
i16;Mineral Fiber Preformed Pipe Insulation - Class I   (Temp -4 to 93 °C)
i17;Mineral Fiber Preformed Pipe Insulation - Class II  (Temp  24 to 204  °C)
i18;Mineral Fiber Preformed Pipe Insulation - Class III  (Temp  24 to 204  °C)
i19;Perlite granulates 48/72 Kg/mc (Temp. -200 to 15 °C)
i20;Perlite sections - segments and slab 265 Kg/mc (Temp. 25 to 1190 °C)
i21;Phenolic Resin (Temp. -200 to 70 °C)
i22;Polystirene foam 28 Kg/mc (Temp. -50 to 60 °C)
i23;Polyurethane (Temp. -50 to 50 °C)
i24;"Rock Wool ""Fibrac (Temp. 50 to 500 °C)"""
i25;"Rock Wool ""Tervol TDM  80 (Temp. 50 to 650 °C)"""
i26;"Rock Wool ""Tervol TDM 100 (Temp. 50 to 650 °C)"""
i27;Superwool 607 HT Blanket 128 kg/m3 (Temp. 200 to 1200°C)
i28;Superwool 607 HT Blanket 96 kg/m3 (Temp. 200 to 1200 °C)
i29;Vermiculite section segments and slabs 375 Kg/mc (Temp. 10 to 800 °C)
